id,Name,Vorname,Telefon privat,Telefon dienstlich,Handy privat,Handy dienstlich,Fax privat,Fax dienstlich
53,Ranke,Diana,761500,+76077,015180141,3731610433,048815165,0463252471
54,Ringelblume,Katrin,+75802178,+35251418,0166823,27470736,43612,73462724
55,Kluggenheim,Joachim,81655,13642080,0156281,68715134,+783222,050802
56,Brinkmann,Hans,057652252,58572563,+701560233,01635106,58311563,+25008
57,Deutscher,Mario,051316,04474158,2182150418,8345644,67072,04556307
58,Klappbusch,Alexander,073048,628541,10851,0165287,2410008,+47142181
59,Lehmann,Ursula,+7753,03530488,631823744,316188,488417262,+33637524
60,Weber,Ute,3788072,705168,+122527046,220810,701180087,+277785
61,Ringelblume,Robert,1541761760,06074,87166062,257015,0363138315,48355341
62,Meiermann,Gisela,8221514,06706,+2635,2585885,046011286,1883055
63,Kluggenheim,Laura,+174885,03256346,+64330,+6768315,+566687,+7726687
64,Weitzmann,Willi,46502270,0458186,87473,0152434,031066,04021623
65,Mueller,Yvonne,+544084,038273,015040380,0162236,+616072,+37773867
66,Freinemann,Benjamin,06344,0525248136,01524,0153142,+3838,37377152
67,Klappbusch,Michael,+23056350,2875767385,+46417861,70877,+127601,20428005
68,Kenterbun,Willi,+2752140,+1621150,2551817748,+66048,02278,5835008214
69,Kluggenheim,Guenter,13445,2312773865,01518528,01521,060706,0347583
70,Joska,Dennis,042244314,1123618,0164173,430515453,+4866,032143665
71,Heiser,Wolfgang,3568017,68080,43720,+633833552,+5245572,+36245
72,Jander,Anja,04177431,0706620455,+1506557,08241,0222410,+741858
73,Uhlmann,Marie,0312125440,+55017,86655561,+102510,607621,84640
74,Klappbusch,Monika,+10852032,+61480055,015358,18378504,+41141113,1560620735
75,Silberzeug,Harry,+2553,67783,0168078,+62517,0612701786,+727173551
76,Weber,Juergen,07358447,+3410,+584246,01602848,+683008177,4460042
77,Hitzmann,Karolin,8052152,+23067,+6672038,4553161371,+5406027,06508
78,Brinkmann,Marcel,+675266817,0611476,+4723568,334485111,+1872552,07380437
79,Ringelblume,Elisabeth,35535462,03004809,281256,+47874,055600,035541
80,Meiermann,Birgit,0353841,05071,0157254,01674126,47363838,710350
81,Deutscher,Sven,86034318,0448168420,30435128,176021802,0455550141,0746041
82,Ploetz,Christine,07654214,056621435,016451,+26071624,06777553,0385532
83,Scheunemann,Gisela,0537016,078343440,17344,01624,7604368,03344156
84,Weber,Walter,+37324368,+160414,01662,01628,0320871916,40033287
85,Vollert,Antje,+535517534,144477368,2551855832,0163726,+478232746,0405142
86,Freinemann,Artur,4712636821,652366573,4432778552,+52644018,+611886,03247822
87,Brinkmann,Hertha,+7667378,266491384,522288752,01742416,05732122,058808
88,Kenterbun,Birgit,+226380133,35585485,+5331,45876,+60362500,+100134
89,Ploetz,Lukas,+3270,32768768,01671126,01532687,07173425,+6437
90,Grasmann,Ulrike,+67746638,+4636312,60146702,0155533,0377766,04335273
91,Silberzeug,Maximilian,653061847,6720457723,522122100,+2008630,+4588,+467762451
92,Wurst,Robert,+21015615,04730,016541,+631534468,051575,03862138
93,Ringelblume,Gerhard,44824,43028,2164303,+50473,+64353163,05184
94,Kenterbun,Jan,0540288724,034150244,+683435,208616,046177366,030134384
95,Kenterbun,Maria,+6168,+742524,647176,+541684,1711072868,03808162
96,Ahlbusch,Marko,+78107385,0408208,4611005,+46768240,140160,80044
97,Jander,Anne,071326431,44854,0684632,+67554,073107408,07253578
98,Freinemann,Daniel,22163158,14741210,015276848,478435,24845687,+38076
99,Meier,Juergen,77540,03561443,01542,182153,0441235066,+743353610
100,Cherense,Tim,13850027,8712350,01650,01513,+2283276,714854
101,Cherense,Kurt,86828122,+418224278,+644670,33744712,067106320,74006435
102,Lehmann,Ingeborg,03273,3565550567,1044254153,3812761888,0425081607,388434
103,Ringelblume,Melanie,0355325232,0416211557,+5560805,+34731,147670,+314646
104,Freinemann,Irmgard,+364785272,+1862336,+174037,+4766067,+221870,0732563436
105,Brinkmann,Ursula,2115313,05866,531178053,0152213073,05237,44375
106,Sukkense,Niklas,+4576875,3376122,+5183,016474,+567038363,072152
107,Lehmann,Andrea,07356036,+420168,01685,016863,04768121,+676760
108,Jander,Karin,17551,3205513382,+28661,01676815,738610,465518
109,Grasmann,Maximilian,+6557241,1232708417,+2840,84726,535403162,314537
110,Joska,Simone,+333608640,+46451000,728500271,+3710,06440158,7082738840
111,Ahlbusch,Annett,+58250,+6588,52601,+54167,05677,810170
112,Scheunemann,Luise,470806744,0633735,5412161319,015567,04021021,071637075
113,Kenterbun,Jessica,454485,0526333614,01678807,56784232,15660,+26678
114,Lehmann,Irmgard,0388523,+730511777,0167272077,01532576,+58848,+5624130
115,Jander,Frida,0524401385,+3435,016580,+6408658,+2026,2268413
116,Meiermann,Laura,116766078,+7125076,3300701847,83481,+5184,7656647
117,Heiser,Wolfgang,+27867138,+18775451,+352131240,01650,845134,0715216185
118,Jander,Nicole,+2366,+771462183,+60337756,016275308,+1262,6406311042
119,Quellmann,Willi,+74386,03145,118238,01668670,0748155800,05848
120,Ranke,Sandra,05875,0725072082,+47736035,01607652,+7148,6463388362
121,Hitzmann,Joachim,07588647,4048338711,27523855,+344631,5805653,258103
122,Vollert,Berta,78885801,565824,+1371,0153327,+265078337,0427827
123,Uhlmann,Brigitte,+6274882,+72565844,+23508277,0167058414,043263,0381357043
124,Hitzmann,Kevin,036631804,00646,+54180752,01626066,0522530,+3622762
125,Weber,Thomas,043507733,13675063,01558,0151840,+77654847,20808
126,Weitzmann,Frida,46146,012517448,015576,+183376644,2720282,653880
127,Deutscher,Benjamin,06263555,+5748513,01503577,+146283423,03413,+350716
128,Hitzmann,Mathias,035230471,+10535,627384112,+2815,048762724,+330150224
129,Ringelblume,Tanja,052671023,052513737,6354625,20008530,04570,06731367
130,Klappbusch,Karl-Heinz,42706723,5304627303,4624140047,0167681,+50733,10625353
131,Scheunemann,Philipp,072008172,403138,0168335,+2582,044700851,+7818727
132,Brinkmann,Christin,+628210315,40460208,37787,144334,+230060,04806062
133,Joska,Doreen,1566717887,+37808,62082343,54253,+77714,0583662555
134,Weitzmann,Ingeborg,+6036728,377645,015115,0165187138,0414754,+5583
135,Ranke,Juergen,5324453,0678634304,74613,748424,+2265808,05457237
136,Vollert,Yvonne,0712038,0630575,1585474723,0163626564,25556,0534502
137,Ranke,Emma,+220773340,+1554,0252471565,5177764,04773,0656106
138,Hitzmann,Franz,+305282,+62145703,+71127504,14436616,4471763,48485300322
139,Heiser,Marco,032570030,436836260,87753775,01555,07108,055655
140,Cherense,Christin,077664,0330750,+61646,01552,0505585056,38536
141,Heiser,Guenter,+30171,7414561,+7663404,538750,035200,23141
142,Ranke,Helga,+11108700,+3303535,015583240,016786,0752333,4534344685
143,Silberzeug,Dominik,0873317771,+21568531,+12878576,01600811,+70512300,+5212
144,Mueller,Bernd,545753825,0366128,340524,0161108784,045151025,842118
145,Jander,Georg,0517560270,+53015134,0157316248,0165327668,+43546,+45275
146,Weber,Jessica,0566334288,073520816,35416,771328,04537311,0653652
147,Joska,Bruno,04481644,+5857,621374,+40052737,+26527252,04606155
148,Kluggenheim,Sophia,+222785,+5118,+3701067,801067080,04175,+2074
149,Grasmann,Tanja,+1330,03110231,0158306784,+75301,+6171203,+24735
150,Weber,Angelika,+7040111,033407,0164501557,+74522768,0718714,+73603054
151,Meiermann,Tim,+4162,+3504188,0160385,016788,043153,16770
152,Ranke,Markus,+37226,+220545,01652743,+4667228,82043,01684056
153,Grasmann,Hans,+478362,425443404,+167715,015307,0588145,52580832
154,Ringelblume,Lukas,038157062,+6253,+253688,016680444,0666616,0622430
155,Mueller,Petra,+71231,0176253,58708512,86706184,05307,5486574847
156,Ahlbusch,Kristin,+1657155,06154638,016862,+22754,+51524740,07266333
157,Weitzmann,Claudia,+115277752,+7555280,+50556,0168271,05861872,5013766623
158,Cherense,Horst,+75614,4405543,321655,0158042,03338,174061785
159,Ahlbusch,Franziska,030740288,0464445232,+460362508,+10113,+31272,+472846
160,Ringelblume,Jana,0381424,653811105,845318,+14871584,+48731,35502
161,Ploetz,Antje,5246841,043064,015314,+524045,0536372328,08436
162,Vollert,Jonas,+267711540,+682687162,+14123,6067134352,13438837,+75583655
163,Mueller,Petra,+17641644,+4411,01548016,28674706,16578,+55517
164,Hitzmann,Harry,+236516,3248145617,01643,+7354315,04778,60236411
165,Hitzmann,Phillipp,05746,+364252376,02711,520606858,+55171027,+38365
166,Meier,Marta,54251778,8717212,01668,822805203,068835,046244
167,Jander,Anke,0677208,5774248863,01567854,015626,57145,834143722
168,Scheunemann,Helga,+43811166,030114,+4077345,5002128,+21836328,+4352
169,Scheunemann,Jens,4856778,71514468,01583,01630,07358253,0628125703
170,Quellmann,Sabrina,+3840776,+248152,64202,01556,36716,+77188574
171,Hitzmann,Marco,031584,0465053,1536373106,070115804,7154017,66731
172,Meier,Yvonne,0546405,660677446,0166681,+33448,73512,35601667
173,Deutscher,Jana,+3082828,034261,38806372,54337,057734164,030428
174,Deutscher,Margarethe,163811,+646821,+126323146,01510080,055336,1662847541
175,Weber,Ruth,+375810,53636575,+226071568,016612858,1867887434,+7016
176,Jander,Mario,0338135025,0760350,52602150,+67424504,63386088,676613
177,Deutscher,Sabine,+27281578,06772550,+687553351,01666,124843145,7344137
178,Quellmann,Ruth,+151546861,05548062,+742610325,+47772678,07336,31876477
179,Klappbusch,Ella,136026363,+68355734,+14177,+462283,+502640676,1418445
180,Meiermann,Bruno,03184,+7446218,7382743,15851665,075344464,868332
181,Ahlbusch,Margarethe,33238,+5741,016002,0462103,0337015053,0627041910
182,Ranke,Katja,111362018,28871882,318048,5264246467,+5057167,+366185110
183,Mueller,Georg,+6503,051025787,+6488,42040111,02530,+437141552
184,Ranke,Rudolf,83486,136665716,+4782,008171148,+42172,06323
185,Cherense,Kristin,05752,076781,0151037,015618222,58312,03467816
186,Kenterbun,Karl,68681375,051507,488143,01665418,1666613,0683721
187,Vollert,Joachim,+212130,80614,0150713852,015614,30623384,+417648555
188,Wurst,Ruth,86420,0725334073,+630540422,016102,358055,4863136477
189,Sukkense,Ilse,05034100,0607011760,6122853,+2087,725566,8280260
190,Brinkmann,Bertha,+22710,037675,01604632,6408668888,+44864,202313
191,Vollert,Doreen,062862,072770200,44276104,+52778,047087,616445
192,Sukkense,Nicole,+283862,+35223041,58722206,88780662,+671078314,+5386
193,Mueller,Stephanie,537706,0148454103,+785164777,01560021,06684,+65481
194,Weber,Horst,210811237,8326066111,887624302,016371581,060418,05411488
195,Meier,Mario,05723,00442386,+5124,0158424417,065402,176011
196,Lehmann,Annett,617225081,11288201,0152786,+14762,20256338,+5005
197,Lehmann,Klara,650483418,+242112,015734,575258064,+67643782,+13305
198,Sukkense,Susanne,0362540203,03861,30108480,+1070,5287848664,04672
199,Vollert,Clara,676206,101167584,01526,254223402,1627304602,713071
200,Brinkmann,Marta,535710766,88503,58426,+247584,+463683,228140026
201,Ranke,Alexander,+512350,28258,+4184364,6052053236,03846,17067
202,Cherense,Fritz,+2417,0742542113,+7107458,01515466,+7730,+155243
203,Freinemann,Maik,+6513,070864,0157050406,20021,+451180,287801
204,Ploetz,Uta,553777,0508302281,015113300,015958512,0348787661,06657876
205,Lehmann,Christian,0608687454,+52120,+2072264,016863,405878,06873757
206,Mueller,Helga,71015164,07618446,1303866,+63258061,+34246854,+4515461
207,Ringelblume,Dirk,+4460716,066212,015772,88152402,06268,03135
208,Heiser,Marie,312564177,0614625,015821,+574084,+63885,+2363
209,Jander,Willi,+271821878,04678,016153,102330262,0731483213,0522325
210,Klappbusch,Daniel,+3106246,67704,027380,015516,66104063,+2051686
211,Cherense,Jessika,17270231,873834,63218845,07405,+306715,0305336221
212,Hitzmann,Gerda,01307224,32075,01617,8445455644,050411,+425518752
213,Grasmann,Berta,82343,+75448000,+7862033,+68535,34651544,80775324
214,Kenterbun,Ines,20885151,+541436,+662207,531277,28403602,0663270
215,Ploetz,Ralph,0517602,63876,640821625,+70860,0568508027,+6204
216,Wurst,Maik,+42046,6437430,015133503,016405076,+6100442,060035320
217,Meiermann,Ralph,+161261,0624335788,015063461,+21834254,6517780,052495075
218,Ringelblume,Antje,045386165,032752461,0157075,300846,+327854,2524275
219,Deutscher,Mandy,446278,+275511754,+62044,0167401223,06751,+334225
220,Quellmann,Carl,115238,+50622,01556,01583,0575786645,07084515
221,Kluggenheim,Ella,06102,+7886,+3453,+40056,0407318253,+376782
222,Quellmann,Waltraud,00807226,+481767551,5565311613,0155605,+5064202,604463
223,Kenterbun,Dieter,+1546244,077404440,+282530554,016700,2842508,0754638
224,Ringelblume,Peter,0707836,056246,+2017,405348321,+55784,863043
225,Sukkense,Hertha,+14146312,11718,01513546,352530,716518551,+22425634
226,Meiermann,Sara,264774436,+562838376,656402874,0162844,06034578,2454483
227,Brinkmann,Sarah,+51122,47736073,+522011,0155415035,0401853075,0563834
228,Grasmann,Nicole,07007,20450,31505,016312,03230,44273
229,Ahlbusch,Tim,+74840263,38643162,016553,2728735313,207158422,82835
230,Klappbusch,Claudia,+578887146,+56858885,004660763,+1547016,80572,0348744733
231,Jander,Hertha,5865023,+338113687,+12252,015714,6352258234,25858
232,Vollert,Richard,06161,+60340,+574843,01631,3438434846,42613432
233,Brinkmann,Katrin,+10353848,06813157,+483368,01628233,28178,0324528
234,Quellmann,Luise,0632866267,035030658,015470,77483,+732868,04071
235,Mueller,Sarah,036582422,075154463,+55432,0167031,354036785,13832458
236,Heiser,Angelika,076600388,8138454,154228047,015052,+563530634,+53376
237,Ahlbusch,Helmut,+652425,+256801545,3187472,3105372371,+10526,+68360524
238,Grasmann,Daniel,05736742,+1100,47010427,+23233,0303727466,073436547
239,Klappbusch,Marta,07866142,072136403,080157,320775654,033614,+233456
240,Mueller,Florian,+31486430,04554880,562648,016153412,036848335,8661325
241,Joska,Guenther,52132526,0385767184,0161130003,0166837080,+2238508,+567248
242,Meier,Dirk,4735068,0208767,+1262,3154006077,6521367,053655
243,Weitzmann,Petra,53342104,+3410047,+515161,01530521,7881535056,03005
244,Mueller,Florian,053833758,118681786,1148168625,316161,+104863183,87467288
245,Brinkmann,Ralph,+4663,41435311,+20308280,016575004,031378023,+267618
246,Ahlbusch,Sven,+741364255,050617,+437367,6263566555,65078631,+386468
247,Sukkense,Gerhard,+41126,11674,824562404,61271,0607502053,04713872
248,Freinemann,Karlheinz,+4643345,30057,015070,015377,+30057,043363721
249,Cherense,Gerhard,0783734,783127865,015787,0157025373,0738438812,050272
250,Hitzmann,Laura,+54058,030200,+32444,+360083,32454,866542
251,Silberzeug,Claudia,+785870204,84462,11526333,0156043005,+58428,042137182
252,Joska,Ulrike,+230700,+3286,016113206,221308220,0588781208,+30258
253,Lehmann,Angelika,28478,05684,01684207,+707100,642027,052485
254,Weber,Karlheinz,+435546,+388326,8428173522,016570,0764258,5240870
255,Sukkense,Sebastian,445433,85881132,015227,016447238,2048023578,81750
256,Brinkmann,Phillipp,+18413,+31577,46655,015631,+7511142,+33835
257,Meiermann,Uwe,+5110,+3065,271414440,+371455,788878,0625846
258,Silberzeug,Harry,0677335,0424122372,845484205,641438,71655,+118360
259,Ringelblume,Marco,8403882,1676685,+25575,+127424,+3275,264668661
260,Ahlbusch,Stefan,0346488341,00860542,+4720,+712271302,+60634,062824
261,Sukkense,Thorsten,0317257,42716380,2141387,70835,71271,+3805470
262,Scheunemann,Sebastian,+40276,+1008238,01584,08262,+6633064,+43478
263,Meier,Manuela,+45628402,800354,83353,0158512528,5658225,05114
264,Heiser,Katrin,05721126,07760135,+3418574,184540,64660,+481628
265,Heiser,Kathrin,04158655,04233735,016540,+616008543,+25528,+6875447
266,Vollert,Ruth,+47202,+46775663,015171,017636817,641380,0738141510
267,Grasmann,Jana,+67228510,+5586,01513,01517,788882,0715464033
268,Hitzmann,Jan,+554553,05736,0158380723,0165438,162515372,0327563
269,Wurst,Hertha,04510,762310612,0156071088,04587536,032864051,2032645125
270,Kluggenheim,Anneliese,384780020,+356818178,0165802,+38854052,4562562,7753455363
271,Kenterbun,Horst,+657015383,0327582,3266201,016747,+23124873,+708282
272,Sukkense,Guenther,+1612,+124613013,843175,+367703,+70121,+438560
273,Joska,Sophie,033783173,21564,01621513,328148722,058262,1563415563
274,Meiermann,Klara,+78782513,286603,0157741470,4445182722,071106348,+316350
275,Kenterbun,Christina,00572780,230556,+727054258,+588480,2213805,+686836
276,Meier,Klaus,5745167,4671367,015158,103328,0405760,0428780565
277,Weitzmann,Gabriele,+54261141,+47037105,016214,+13217423,07734,2613765
278,Weitzmann,Hertha,042285564,+11763240,+685460,+34885806,+33062530,0332805156
279,Weber,Willi,+528355,65607514,+66161,+523810,2825722016,663334106
280,Deutscher,Melanie,2354666,0534778308,06645201,+1068046,38375150,507382383
281,Scheunemann,Carl,210161676,076178462,5313202188,8714024206,+173744640,0476680883
282,Brinkmann,Birgit,6282756,+6844,+5356386,12777356,45525255,+43121176
283,Joska,Sandra,038752,+387841,01563241,015745,046711,+76538526
284,Cherense,Ernst,+5661,033025,+701287,01650,27268741,+25617385
285,Wurst,Lieselotte,57675560705,42481142,+11466,01646002,07615561,370344
286,Meier,Marie,+444732,0787612415,06201,1111327311,07563,050538
287,Wurst,Karin,+3805,064602365,01662166,+27471,7314821,55162818
288,Weber,Vanessa,040461,+7641213,+1332,01527,5886230,0446110
289,Hitzmann,Edith,157017880,2037658,+6755120,8188271,+707608488,0528806484
290,Scheunemann,Gerhard,+7380,0448201,0150184147,752676,0680086,+3702
291,Meiermann,Sven,226585264,+473012041,32000077,015427640,05000,+36475886
292,Ploetz,Emma,055406,0706843,+428316,0161805,3487021,8864471
293,Uhlmann,Ida,+703243155,+345000,724617,046560,2681504858,01425136
294,Joska,Dirk,0721526475,+4008622,0153420335,+4870,+2001317,57244
295,Silberzeug,Thomas,+7426537,065173766,315863,+25476060,00842,06064635
296,Freinemann,Klaus,0559250,+35462,0164627,274608450,17486442,47842
297,Wurst,Lena,+683712308,852342867,01565511,4481237,0332844,2531255685
298,Grasmann,Joachim,06117063,326543,0152266,038342,+611182,8531447
299,Vollert,Sandra,+55294,+3163358,0167436,218755716,+153320840,48212662
300,Silberzeug,Klaus,638069910,0503530355,824125,0150205043,43313,04347
301,Quellmann,Ilse,0378140,067401644,+103386183,440067837,728235,17634185
302,Ranke,Elfriede,66140,03735,0162327423,643744,+7825,+308565
303,Joska,Phillipp,+40878438,3556543311,+5705,+7541,05726267,0447676042
304,Klappbusch,Stefanie,748022615,048215,0155826,6516014571,+6802815,+2867
305,Scheunemann,Diana,37205,057551,+56675,01557060,2285045323,706861
306,Ahlbusch,Maik,+72487444,8686755473,0165170650,6086178,57712300,+27773356
307,Lehmann,Frieda,0358862272,55048,+40672,+68445782,002117004,+33358
308,Hitzmann,Tim,1771703,0773836362,358751,01510158,44352170,0428058433
309,Grasmann,Florian,472104816,2078022358,14558346,34018740,+780862,041174533
310,Quellmann,Nicole,42243,0415367,0164218677,+6262130,+481636061,05820397
311,Weber,Stephanie,07728,+5556,3602015,004504873,0335108377,+57423
312,Scheunemann,Christina,072005,062665,+542385702,821267,0608455,05855537
313,Wurst,Frieda,0726577,+433082647,01521160,016423728,+43825,67443874
314,Mueller,Sarah,065650,035362,+217516187,+327688,22050416,03772
315,Mueller,Juliane,+481473688,+63144037,+446387,+7812,+1334826,05111
316,Heiser,Barbara,1310431765,7022133,242676,+514407,0720241682,+568461
317,Uhlmann,Martina,23754005,+7884,01678,+30616,062700,705054202
318,Jander,Sophie,4041321,0512017548,72322,351336,1150564717,8582610258
319,Quellmann,Edith,+322804,06006277,+3143,015368548,07648,031443
320,Kluggenheim,Sabine,4751615,+50218,324762,+3244683,0511543,+130202862
321,Uhlmann,Erna,+45366,02125145,+34266,015832672,+6533828,5652774035
322,Meier,Margarete,0363556414,+2430,844504,01617101,+628020103,+661286
323,Kluggenheim,Julia,07430,05334548,0151060,6146682,+587135304,0735370734
324,Deutscher,Maximilian,+1313044,+43816615,+162820,+38501822,05228468,01440616
325,Deutscher,Sven,+421750228,23464182,06067,+75804614,+367444476,05110
326,Cherense,Stephanie,+11155,0740385151,2711330265,015600,04483600,2843240301
327,Uhlmann,Martin,0617177,0317640143,261108,015778436,0705413602,71046062
328,Ringelblume,Joachim,27778,03403223,01603,01628,42453013,+4572700
329,Vollert,Marina,+5847,050242577,015164,+2331,+26132,+4866072
330,Sukkense,Uwe,+18541,7122472,0154207,0152056,433517281,+3867058
331,Uhlmann,Horst,0606867,078682,01661,73011433,030665351,+522220
332,Heiser,Christine,03861,0347574747,+1701,0161172,05408714,055432536
333,Wurst,Jessica,72622614,1506032306,+466374372,46264,+54781833,+541574081
334,Hitzmann,Laura,5834138503,6521623283,+2464741,+745414,076635,0430002
335,Deutscher,Diana,56418015,74107108,42607,6460437,+256732023,171582
336,Mueller,Kathrin,066724,6566707,+5145307,+6433607,518575,04577244
337,Kenterbun,Andrea,+3580210,0786145870,01574,064712057,8462163,373161326
338,Mueller,Hedwig,768480134,0757801532,31250,+13783,4222272305,070348240
339,Uhlmann,Thorsten,8761685,+55368,75236,01520426,0443448188,036166
340,Ahlbusch,Monika,038143,05074,01574,155823,04443741375,034023177
341,Brinkmann,Melanie,+7176600,055105,+4372,+240760,242374648,056623
342,Meiermann,Petra,+302555030,6882565,+148083,0168226470,+5018,+665706406
343,Hitzmann,Stephan,4464175,1537444,841715285,6634314350,+112073,512056008
344,Joska,Ute,05065263,063484,+1640,54316,4262714510,071643481
345,Kenterbun,Rudolf,+6764,+11012,0205645,016288435,+38857361,03476487
346,Joska,Marie,+307203140,0455030016,206453,+2681636,034445850,037658068
347,Weber,Doreen,+73537,033323,015881,+16121344,+22027658,+6423805
348,Weber,Gerhard,5058176835,068818062,558245138,+145316007,076623423,0614340033
349,Ringelblume,Lena,7471733,0405640643,+103503058,02188273,18253458,+2000541
350,Uhlmann,Martin,507423778,071071522,015100,374450735,0586348,06276
351,Ringelblume,Christine,137222872,0616570451,01531,4648383,175324,+546520
352,Jander,Erika,+61365551,0766243545,+123316,+324556638,+10465,+664346873
353,Kenterbun,Ines,06166214,+78223602,+44680360,2234232004,6768257481,10364055
354,Meiermann,Jonas,03744428,341388884,44712415,0154228381,+235665,0326416302
355,Weitzmann,Walter,08244,02014,016554067,+7181044,332051,+160414
356,Kenterbun,Karin,63217651,+6128833,+177444386,6887521,+35444,+205028
357,Lehmann,Waltraud,054616,8423875,+13633,01645,037625,306844382
358,Hitzmann,Karolin,+5815,6882288234,+526188184,06608534,0325704627,052086624
359,Ranke,Sophie,0478074,+602323200,548878,+15811001,05443,05528
360,Meiermann,Hans,465477,058813457,+1773100,01661436,06025,+40207056
361,Freinemann,Arthur,51408,00165106,+10261,8762723515,+4250301,+2124
362,Quellmann,Thorsten,041473035,+548651775,67363062,016809712,86026,+383770408
363,Hitzmann,Helga,+70877015,40837,07801,+573528,63644513,61241
364,Heiser,Jan,332316051,+575397,+7120,+7618,1273571,+52585
365,Silberzeug,Sabrina,731823206,+688425,+37385768,1074248,062382,0625703
366,Ringelblume,Patrick,+723263806,07331,81238128,647663,0557450777,2780623825
367,Cherense,Elisabeth,05715604,8738563,588745131,35515342,+1235,073082
368,Brinkmann,Karin,+664838458,685636,561343,0160462,+2462,34884
369,Quellmann,Frieda,0546842664,+236685638,+527485837,026361165,343767446,0310163
370,Ranke,Torsten,301838,+5141762,01670,26352416,0617381,031125
371,Ringelblume,David,042250077,+36030252,01672,54218661,+241074,2443236
372,Jander,Ute,07400,0642636082,+31500110,+68334845,675275,+1387757
373,Quellmann,Otto,033451,+314175563,01631223,015761,05220,670614337
374,Quellmann,Lukas,+5727,0440417,+480034,016838475,667362,0428146487
375,Mueller,Andreas,+48516880,04183668,01648,016148803,+2376672,6344334
