id,Name,Vorname,Telefon privat,Telefon dienstlich,Handy privat,Handy dienstlich,Fax privat,Fax dienstlich
53,Ranke,Diana,761500,+76077,015180141,3731610433,048815165,0463252471
54,Ringelblume,Katrin,+75802178,+35251418,0166823,27470736,43612,73462724
55,Kluggenheim,Joachim,81655,13642080,0156281,68715134,+783222,050802
56,Brinkmann,Hans,057652252,58572563,+701560233,01635106,58311563,+25008
57,Deutscher,Mario,051316,04474158,2182150418,8345644,67072,04556307
58,Klappbusch,Alexander,073048,628541,10851,0165287,2410008,+47142181
59,Lehmann,Ursula,+7753,03530488,631823744,316188,488417262,+33637524
60,Weber,Ute,3788072,705168,+122527046,220810,701180087,+277785
61,Ringelblume,Robert,1541761760,06074,87166062,257015,0363138315,48355341
62,Meiermann,Gisela,8221514,06706,+2635,2585885,046011286,1883055
63,Kluggenheim,Laura,+174885,03256346,+64330,+6768315,+566687,+7726687
64,Weitzmann,Willi,46502270,0458186,87473,0152434,031066,04021623
65,Mueller,Yvonne,+544084,038273,015040380,0162236,+616072,+37773867
66,Freinemann,Benjamin,06344,0525248136,01524,0153142,+3838,37377152
67,Klappbusch,Michael,+23056350,2875767385,+46417861,70877,+127601,20428005
68,Kenterbun,Willi,+2752140,+1621150,2551817748,+66048,02278,5835008214
69,Kluggenheim,Guenter,13445,2312773865,01518528,01521,060706,0347583
70,Joska,Dennis,042244314,1123618,0164173,430515453,+4866,032143665
71,Heiser,Wolfgang,3568017,68080,43720,+633833552,+5245572,+36245
72,Jander,Anja,04177431,0706620455,+1506557,08241,0222410,+741858
73,Uhlmann,Marie,0312125440,+55017,86655561,+102510,607621,84640
74,Klappbusch,Monika,+10852032,+61480055,015358,18378504,+41141113,1560620735
75,Silberzeug,Harry,+2553,67783,0168078,+62517,0612701786,+727173551
76,Weber,Juergen,07358447,+3410,+584246,01602848,+683008177,4460042
77,Hitzmann,Karolin,8052152,+23067,+6672038,4553161371,+5406027,06508
78,Brinkmann,Marcel,+675266817,0611476,+4723568,334485111,+1872552,07380437
79,Ringelblume,Elisabeth,35535462,03004809,281256,+47874,055600,035541
80,Meiermann,Birgit,0353841,05071,0157254,01674126,47363838,710350
81,Deutscher,Sven,86034318,0448168420,30435128,176021802,0455550141,0746041
82,Ploetz,Christine,07654214,056621435,016451,+26071624,06777553,0385532
83,Scheunemann,Gisela,0537016,078343440,17344,01624,7604368,03344156
84,Weber,Walter,+37324368,+160414,01662,01628,0320871916,40033287
85,Vollert,Antje,+535517534,144477368,2551855832,0163726,+478232746,0405142
86,Freinemann,Artur,4712636821,652366573,4432778552,+52644018,+611886,03247822
87,Brinkmann,Hertha,+7667378,266491384,522288752,01742416,05732122,058808
88,Kenterbun,Birgit,+226380133,35585485,+5331,45876,+60362500,+100134
89,Ploetz,Lukas,+3270,32768768,01671126,01532687,07173425,+6437
90,Grasmann,Ulrike,+67746638,+4636312,60146702,0155533,0377766,04335273
91,Silberzeug,Maximilian,653061847,6720457723,522122100,+2008630,+4588,+467762451
92,Wurst,Robert,+21015615,04730,016541,+631534468,051575,03862138
93,Ringelblume,Gerhard,44824,43028,2164303,+50473,+64353163,05184
94,Kenterbun,Jan,0540288724,034150244,+683435,208616,046177366,030134384
95,Kenterbun,Maria,+6168,+742524,647176,+541684,1711072868,03808162
96,Ahlbusch,Marko,+78107385,0408208,4611005,+46768240,140160,80044
97,Jander,Anne,071326431,44854,0684632,+67554,073107408,07253578
98,Freinemann,Daniel,22163158,14741210,015276848,478435,24845687,+38076
99,Meier,Juergen,77540,03561443,01542,182153,0441235066,+743353610
100,Cherense,Tim,13850027,8712350,01650,01513,+2283276,714854
